SITUAÇÃO;MARCA/MODELO;ANO/MODELO;COR;DATA DES;MES;
FURTADO;VW/GOL 1.0L MC4;2019;BRANCO;05/01/2020 23:00:00;JANEIRO
FURTADO;IMP/FIAT UNO MILLE SX;1998;VERMELHO;06/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/STRADA HD WK CC E;2020;BRANCO;06/01/2020 00:00:00;JANEIRO
FURTADO;JTA/SUZUKI EN125 YES;0;PRATA;06/01/2020 07:40:00;JANEIRO
FURTADO;I/TOYOTA/FIELDER;2006;PRETA;06/01/2020 12:00:00;JANEIRO
FURTADO;JTA/SUZUKI BANDIT 1200S;2006;PRETA;06/01/2020 12:00:00;JANEIRO
FURTADO;FIAT/UNO MILLE SX;1997;AZUL;06/01/2020 17:00:00;JANEIRO
FURTADO;R/REBOQUE RG MINEIRINHA;2018;PRETA;06/01/2020 18:00:00;JANEIRO
FURTADO;VW/GOL SPECIAL;2003;CINZA;06/01/2020 20:00:00;JANEIRO
FURTADO;I/PEUGEOT 307 SD16 PR PK;2009;PRATA;06/01/2020 23:00:00;JANEIRO
ROUBADO;FORD/KA SE 1.5 HA C;2019;CINZA;06/01/2020 23:30:00;JANEIRO
FURTADO;CHEVROLET/MONTANA LS2;2020;BRANCO;07/01/2020 00:00:00;JANEIRO
FURTADO;VW/GOL 1.6L MB5;2019;PRATA;07/01/2020 01:00:00;JANEIRO
FURTADO;GM/MONTANA CONQUEST;0;PRATA;07/01/2020 02:00:00;JANEIRO
FURTADO;VW/NOVO GOL TRACK MCV;2018;BRANCO;07/01/2020 06:00:00;JANEIRO
ROUBADO;I/PEUGEOT 308 ALLURE BVA;2014;BRANCO;07/01/2020 07:10:00;JANEIRO
ROUBADO;FORD/CARGO 1317 E;2011;PRATA;07/01/2020 07:45:00;JANEIRO
FURTADO;HONDA/CBX 250 TWISTER;2003;VERDE;07/01/2020 18:00:00;JANEIRO
FURTADO;HONDA/CBX 250 TWISTER;2003;VERDE;07/01/2020 18:00:00;JANEIRO
ROUBADO;CHEVROLET/ONIX 1.0MT LT;2018;PRATA;07/01/2020 19:10:00;JANEIRO
ROUBADO;I/HYUNDAI I30 2.0;2012;PRETA;07/01/2020 22:30:00;JANEIRO
ROUBADO;I/HYUNDAI I30 2.0;2012;PRETA;07/01/2020 22:30:00;JANEIRO
FURTADO;VW/8.120 EURO3;2011;AZUL;08/01/2020 00:00:00;JANEIRO
FURTADO;VW/8.120 EURO3;2011;AZUL;08/01/2020 00:00:00;JANEIRO
FURTADO;CHEVROLET/MONTANA LS;2016;PRATA;08/01/2020 00:00:00;JANEIRO
FURTADO;VW/NOVO GOL 1.0 CITY;2014;BRANCO;08/01/2020 00:00:00;JANEIRO
FURTADO;PEUGEOT/208 GRIFFE;2013;PRATA;08/01/2020 06:00:00;JANEIRO
ROUBADO;VW/24.280 CRM 6X2;2019;BRANCO;08/01/2020 09:50:00;JANEIRO
ROUBADO;VW/24.280 CRM 6X2;2019;BRANCO;08/01/2020 09:50:00;JANEIRO
ROUBADO;FORD/FIESTA SEDAN FLEX;2014;PRETA;08/01/2020 14:50:00;JANEIRO
FURTADO;VW/GOL 1.0;2012;CINZA;08/01/2020 17:30:00;JANEIRO
ROUBADO;FIAT/PUNTO ELX 1.4;2010;VERMELHO;08/01/2020 20:20:00;JANEIRO
ROUBADO;FIAT/PUNTO ELX 1.4;2010;VERMELHO;08/01/2020 20:20:00;JANEIRO
ROUBADO;CHEVROLET/ONIX 1.0MT LT;2014;BRANCO;08/01/2020 21:30:00;JANEIRO
FURTADO;FORD/FIESTA CLX;1997;VERMELHO;09/01/2020 00:00:00;JANEIRO
